id,title,artists,pp_artist
1Q2fYlSdwuutWj3QplhY9q,Riot,['Three Days Grace'],Three Days Grace
6rUp7v3l8yC4TKxAAR5Bmx,I Hate Everything About You,['Three Days Grace'],Three Days Grace
5Mbz3t8k16WjlDkmXBxmlf,Seventeen,['Rich Brian'],Rich Brian
4bdJHQp90ymjEIkkYhcENB,Dat $tick,['Rich Brian'],Rich Brian
79ptYtWnpAnsQutzg2xSFk,Cave Me In,"['Gallant', 'Tablo', 'Eric Nam']",Gallant / Tablo / Eric Nam
6Xi897JXNLSoIaoYZwgTLc,Dímelo,"['Snakehips', 'Tory Lanez']",Snakehips / Tory Lanez
0OFMDmL9dfbuNa31cMYdHW,Act Different,"['Sik-K', 'Mac Kidd']",Sik-K / Mac Kidd
4Z2mXXSzuCDEHZtFGmy0X5,Rendezvous,['Sik-K'],Sik-K
7tSeCwxEuv5kQWbA3yBHMy,Born to Lead,['Falling In Reverse'],Falling In Reverse
5EWPGh7jbTNO2wakv8LjUI,Free Bird,['Lynyrd Skynyrd'],Lynyrd Skynyrd
7AWlVWstGjmTmFZACsVkJL,Freakshow,['Rone'],Rone
5tFep7dXGd7vEJ668wTPux,Both (feat. Drake),"['Gucci Mane', 'Drake']",Gucci Mane / Drake
5UShsJdqJLZkl5JNj1ITlP,DRUGS,['lil aaron'],lil aaron
2PtBhfoPZ6VYtXkrE5FrCH,Reflections,['MisterWives'],MisterWives
0Zx8khUcEfCFK2AEoIhC92,Don't Leave,"['Snakehips', 'MØ']",Snakehips / MØ
51NBMjiv4t1nUiLC9Bim3G,By Your Side,"['Jonas Blue', 'RAYE']",Jonas Blue / RAYE
5eYVjWYsfGUqpkzM9uef7Q,Hear Me Now,"['Alok', 'Bruno Martini', 'Zeeba']",Alok / Bruno Martini / Zeeba
5mqjkbTgyEzxTQOArWTOs6,Not Going Home,"['DVBBS', 'CMC$', 'Gia Koka']",DVBBS / CMC$ / Gia Koka
6jq6rcOikCZAmjliAgAmfT,Light,['San Holo'],San Holo
27zK2lkAiqFw7y113I94H5,Just Hold On,"['Steve Aoki', 'Louis Tomlinson']",Steve Aoki / Louis Tomlinson
15vzANxN8G9wWfwAJLLMCg,Paris,['The Chainsmokers'],The Chainsmokers
1VdZ0vKfR5jneCmWIUAMxK,The A Team,['Ed Sheeran'],Ed Sheeran
7qiZfU4dY1lWllzX7mPBI3,Shape of You,['Ed Sheeran'],Ed Sheeran
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,['Ed Sheeran'],Ed Sheeran
6mb6lVLNrcUgLnEN8QnDJd,How Far I'll Go,"[""Auli'i Cravalho""]",Auli'i Cravalho
1h6kgem1ai8vUgO1rZOwfB,I Don't Like,"['Chief Keef', 'Lil Reese']",Chief Keef / Lil Reese
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,['Chief Keef'],Chief Keef
2oHM9KAdFdFvDCaE4V6RST,Hate Bein' Sober,"['Chief Keef', '50 Cent', 'Wiz Khalifa']",Chief Keef / 50 Cent / Wiz Khalifa
2rJvc7nSYWBKAuNUMx1Cr2,Don't Like.1,"['Kanye West', 'Chief Keef', 'Pusha T', 'Big Sean', 'Jadakiss']",Kanye West / Chief Keef / Pusha T / Big Sean / Jadakiss
7Kbf1qDeDqshPsG2eSonFy,Gave It All I Got,['Kodak Black'],Kodak Black
788NX6uCNEVuZW8x5BkQqM,Like Dat,['Kodak Black'],Kodak Black
34oWbFBfGEElvgO0a5c9V4,No Flockin',['Kodak Black'],Kodak Black
5v7kaZNsnyByrSJOfO8gKq,Skrt,['Kodak Black'],Kodak Black
72FNf7DAlWLmuHiLTBcNHY,Hold Back The River,['James Bay'],James Bay
57bgtoPSgt236HzfBOd8kj,Thunderstruck,['AC/DC'],AC/DC
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,['AC/DC'],AC/DC
0Z5ok0QLLttAKsujOZYOXf,Chasing Pavements,['Adele'],Adele
6O5TrlFWTYvznd9fMC0VvU,When We Were Young,['Adele'],Adele
6U4VqEHy4n5VeiH4pQPL24,You're Welcome,['Dwayne Johnson'],Dwayne Johnson
6xbraxG0bSBOuAr5IUXmtM,iSpy (feat. Lil Yachty),"['KYLE', 'Lil Yachty']",KYLE / Lil Yachty
6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,['J. Cole'],J. Cole
3MWlVSkoLS1e66nlZ2tuWJ,For Whom The Bell Tolls,['J. Cole'],J. Cole
5hTpBe8h35rJ67eAWHQsJx,Caroline,['Aminé'],Aminé
7KxhSJOYiqCDclXDBNlFSZ,Kill Em With Kindness,['Selena Gomez'],Selena Gomez
7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd),"['Future', 'The Weeknd']",Future / The Weeknd
