,id,k6_cluster,k10_cluster
167,5uCax9HTNlzGybIStD3vDh,5,0
168,4gmmRb6bZJffOOiww1JGTO,0,5
169,4Km5HrUvYTaSUfiSGPJeQR,0,5
170,15k2nBQJ0teDmPZHrOXL2N,4,7
171,1E43TJhKcM8hXgM958ROQ1,4,7
172,6pDVjCUA3B1vg9waKutAsv,5,0
173,0ifooM33X1iBxVYyOkSbXW,4,7
174,1vvNmPOiUuyCbgWmtc6yfm,4,7
175,2K9OuOMhtNGtbbqQhALv8i,4,7
176,1oGdVdYjeQvojGKDddxLQQ,0,5
177,7MXVkk9YMctZqd1Srtv4MB,0,5
178,37F0uwRSrdzkBiuj0D5UHI,0,5
179,4h90qkbnW1Qq6pBhoPvwko,4,7
180,1WkMMavIMc4JZ8cfMmxHkI,2,6
181,7yyRTcZmCiyzzJlNzGC9Ol,2,6
182,4F7A0DXBrmUAkp32uenhZt,2,6
183,0AS63m1wHv9n4VVRizK6Hc,4,7
184,6b8Be6ljOzmkOmFslEb23P,2,6
185,32lgtADX2cB9I4KFs1Y1py,4,9
186,5knuzwU65gJK7IF5yJsuaW,4,7
187,33cYcQm6naYAywTtdnrdxP,2,6
188,5o3GnrcFtvkdf3zFznuSbA,2,6
189,6fujklziTHa8uoM5OQSfIo,2,6
190,0KQxxHsCWjLsYluY5PefId,4,7
191,4B31QOL13iBeuIsaGD20BS,2,6
192,43tVqovviXhkmOV5LOkTn7,0,5
193,0yNecIrNLTIsF5ULCraPgl,0,5
194,0fAehaneUJdlSlWXYe1KZp,0,6
195,6JKoTnberZoBgUuxa6l4Kh,0,5
196,5BikEzeYYFtRvR1CL1UTRg,0,2
197,6mrRJpEOqNEKygu4fesH1e,0,5
198,1MqC1CyfmBiEgauT4sqhSE,3,4
199,76wXoUkBme6E5yPhXv6zfR,0,5
200,7y6EHdn8KFJUD2F6zWNWhZ,0,5
201,7lhkOb0VNnTlshwifCEoSr,0,5
202,1rW2nkUbmKD2MC22YrU8cX,0,5
203,49aTv96mDjvlDb74XvVSc9,0,5
204,2LbL1HaoZrXrCR538uxUjl,0,5
205,6plT7nFGiXKSBP9HFSI4ef,4,5
206,1gmu96SrVjbwnleHVNpiod,2,6
207,2rqUblDWJKlMVwh9uJc0Vv,0,5
208,4lKqLeuZN7EOp9IjFBuB60,0,6
209,6JvHYmanlC8FdbeiCztcrR,0,5
210,7msCKNrI0vZw9H4MIgLnAh,5,8
211,3QGsuHI8jO1Rx4JWLUh9jd,0,5
212,2MHCiOohBZEQuLgDTPvSzF,2,6
213,099NgYQditsnMhePFr61Fl,2,6
214,0wAbE8PmaALSdGEpfOuk6J,2,6
215,6YzO1Ndf7fbyPo4njTTAur,2,9
216,2YlWk2pdedpxI8sLNKJ5zY,0,5
217,2rizacJSyD9S1IQUxUxnsK,2,6
218,2zM1k4PnL573ayLHqpQaQN,0,5
