id,title,artists,pp_artist
7xMFk2Vj2hALyMdzHFopJl,Home Sweet,['Russell Dickerson'],Russell Dickerson
6MOst484piqXpzPPRRe8i5,vice city,['XXXTENTACION'],XXXTENTACION
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),"['Drake', 'Travis Scott']",Drake / Travis Scott
3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,['Em Beihold'],Em Beihold
3TuMOIzXkhKFDNHyQ7Mo8J,Never Wanted To Be That Girl,"['Carly Pearce', 'Ashley McBryde']",Carly Pearce / Ashley McBryde
2ccuOtUjIyx3tPcsnpeBzJ,Flower Shops (feat. Morgan Wallen),"['ERNEST', 'Morgan Wallen']",ERNEST / Morgan Wallen
1SOClUWhOi8vHZYMz3GluK,Infinity,['Jaymes Young'],Jaymes Young
18asYwWugKjjsihZ0YvRxO,The Motto,"['Tiësto', 'Ava Max']",Tiësto / Ava Max
08SB2OtZkaliju77WYEKxk,No Love (with SZA),"['Summer Walker', 'SZA']",Summer Walker / SZA
4HyVMzg0sUQsdOxRvSO8Ka,Megan's Piano,['Megan Thee Stallion'],Megan Thee Stallion
6Ab81Bs9fcOwaTYuBsUUpI,Eazy,"['The Game', 'Kanye West']",The Game / Kanye West
3mEV5HCSzchjEG5NwLC0IR,Fish Scale,['YoungBoy Never Broke Again'],YoungBoy Never Broke Again
2Q5q1q01KOdHt5fM00WUJ8,"Colombia, Mi Encanto",['Carlos Vives'],Carlos Vives
