id,title,artists,pp_artist
503sFkc8Y2eyGnM6cu8kHm,It's Your Love,"['Tim McGraw', 'Faith Hill']",Tim McGraw / Faith Hill
7d1i567adnYsgg7XOVrRxt,Good to Be Me (feat. Kid Rock) - South River Road Version [South River Road Version],['Uncle Kracker'],Uncle Kracker
5GMw6X6BbCDGO9gApQYRSa,You've Lost That Lovin' Feelin',['The Righteous Brothers'],The Righteous Brothers
21FgaNm6VzGPfiryhTL2l4,Bringing It Home - acoustic,['Barenaked Ladies'],Barenaked Ladies
0TNouIVlNVAU1N2xDPVvbY,Castle on the Hill - Throttle Remix,"['Ed Sheeran', 'Throttle']",Ed Sheeran / Throttle
1ayC8ThLb56mKdLsF3ognO,Free Girl Now,['Tom Petty and the Heartbreakers'],Tom Petty and the Heartbreakers
4YKAOXyqkKZ5gOZR0AmVMN,Red Solo Cup,['Toby Keith'],Toby Keith
0lqfBvf1Gqmmt3l5Qeirlm,R.O.C.K. In The U.S.A. (A Salute To 60's Rock),['John Mellencamp'],John Mellencamp
0lKTwaoezVFOd1MC6MqViz,Chariot,['Gavin DeGraw'],Gavin DeGraw
2NEBP8SXEqwZt2PRdPXXuy,Everything's Gonna Be Alright,"['David Lee Murphy', 'Kenny Chesney']",David Lee Murphy / Kenny Chesney
3hZJ3tN31cYL3U0HuFfbC2,Barely Breathin',['Weston Wold'],Weston Wold
6TQzLEc2mFHyZ4eYXu50ma,Using Again,['Benjamin Tod'],Benjamin Tod
5ZKEuCpf7R5pcy6vDRijQn,Strange Times,['Mikey Mike'],Mikey Mike
7ER7vcy7u2ajg5IV45WBFw,Thunder / Young Dumb & Broke (with Khalid) - Medley,"['Imagine Dragons', 'Khalid']",Imagine Dragons / Khalid
4t1dkVSUytQdV6VstXWPmN,California Dreaming (feat. Paul Rey),"['Arman Cekin', 'Paul Rey']",Arman Cekin / Paul Rey
7bVTH2yQqGAkFNsyVvo533,How's It Gonna Be,['I Call Fives'],I Call Fives
5F40csF5DtKOGfEg8vuz1d,Rock 'n' Roll (Part 2),['Gary Glitter'],Gary Glitter
7iPlcFvOMOzt6v0QvcAueZ,I Always Wanna Die (Sometimes),['The 1975'],The 1975
37qEewGzwkFGJ8aGhYBXQu,Here I Am,['The Explosion'],The Explosion
35srNkJVToAzYiZzron1FY,Young Forever,"['JAY-Z', 'Mr Hudson']",JAY-Z / Mr Hudson
2L20yholXnxJK0FRpRr12D,21 Days,['Scott Helman'],Scott Helman
2elA6JLRaQ6iB7hxiuTKN4,I Tried,"['Bone Thugs-N-Harmony', 'Akon']",Bone Thugs-N-Harmony / Akon
4MZUeUMDwVt8bUTDrle05I,Wildfire,['blink-182'],blink-182
1igbH2uoG126vm8hrP6x50,Losing My Mind,['Angels & Airwaves'],Angels & Airwaves
2QTfLsomwAycagswJsqd3V,Innocence,['Harlequin'],Harlequin
78p5Da5u0uT78E43BRiGUm,Shelf In The Room,['Days Of The New'],Days Of The New
3v9xlH6BpmRbqL7hgNJhfT,I Get Around (Mono),['The Beach Boys'],The Beach Boys
0VQ0n5gMgJLNixG8BfWBT5,"Lovin', Touchin', Squeezin'",['Journey'],Journey
5IweeQZdY5XEzStLzUJG5t,Purple Pills,['D12'],D12
1Qdnvn4XlmZANCVy3XjrQo,Show Me How to Live,['Audioslave'],Audioslave
7uboeZOr65W5h4MjfVOeTe,Hold My Beer,['Aaron Pritchett'],Aaron Pritchett
74If8DZQxicaLBrOcvL4c7,Morning Song,['The Lumineers'],The Lumineers
6uzuW7L1t1UhnzbfXwtMtQ,The Curse of Curves,['Cute Is What We Aim For'],Cute Is What We Aim For
6tvJzpRkIAMCk1CAqKOQMA,I Go Through - XX Radio Mix,['O.A.R.'],O.A.R.
5Mhe8G8RHdQWR30lStPvO5,Walking Contradiction,['Green Day'],Green Day
0Anb7B9hNq5yXUAy4DBLLU,No Woman No Cry,['Bob Marley & The Wailers'],Bob Marley & The Wailers
0ktXauHeFXZhYzDvs1hLwE,Insomniac,['DREAMERS'],DREAMERS
0zLvkCvm22VHCWrFlBL1Ey,Torn to Pieces,['Pop Evil'],Pop Evil
6DiVOxX1dOBp6bunh7cO4O,Unspoken,['Sleep On It'],Sleep On It
43LdgobPlcCc5g9Kmactvy,Why Don't You & I (feat. Chad Kroeger),"['Santana', 'Chad Kroeger']",Santana / Chad Kroeger
4ZPdnqOaT0kkrsl9ppWc1V,I Can't Stop Drinking About You,['Bebe Rexha'],Bebe Rexha
3VVstQ0fpj4pdSPe2QZT5z,Radio,['Alkaline Trio'],Alkaline Trio
3l4ocz4JRx92xTAnqNTgGG,Right Girl Wrong Time,['Jon Langston'],Jon Langston
2MEv36MjUaN8DXaNzKIcId,Radio Player,['Allister'],Allister
2lmcH6prYo3BlR8LfRUJc3,All Out of Love,['Air Supply'],Air Supply
2JjDgorBAd8Er6IS5Weyok,Mr. Vain Recall - Radio Edit,['Culture Beat'],Culture Beat
0dEKHXkMPrC5vQkjPtmOic,Makes No Difference,['Sum 41'],Sum 41
35PYCZLdGi3gRMdA26dZ59,Sway,['Bic Runga'],Bic Runga
0bX8K25ykrXgu9AJ7h5b3p,So Happy,['Raven & Kreyn'],Raven & Kreyn
4xRrwdnxvwAPLnPU143uMq,Screaming Infidelities,['Dashboard Confessional'],Dashboard Confessional
23DHUWJ7iEieNPMPKvjzBV,Ohio Is For Lovers,['Hawthorne Heights'],Hawthorne Heights
77J0RlRLeK3G3kWIIHeWm2,John Cougar John Deere John 3:16,['Dave Days'],Dave Days
0WyFpxYlBCgH1gMXd26OOr,Flatliner (feat. Dierks Bentley),"['Cole Swindell', 'Dierks Bentley']",Cole Swindell / Dierks Bentley
5athKO6ld0ENzHLqUTuPXJ,Purple,['June Haze'],June Haze
6JWl0oNzxELeuecBhvAYib,Everyone Falls In Love,['Tanto Metro & Devonte'],Tanto Metro & Devonte
5v7Q7cLMmFp1wp4BVd5D0d,Back 2 Good,['Matchbox Twenty'],Matchbox Twenty
1QEzs30PUAJJPbHL1e4NYH,"Silver Springs - Live at Warner Brothers Studios in Burbank, CA 5/23/97",['Fleetwood Mac'],Fleetwood Mac
6lOsjTvgGL08uRf2nKrSed,Dreaming - The Chainsmokers Remix,"['Smallpools', 'The Chainsmokers']",Smallpools / The Chainsmokers
6BGOaOJIX3Qbx9yYJRqML0,SA-MY-D - Matroda Remix,"['HEDEGAARD', 'Matt Hawk', 'Matroda']",HEDEGAARD / Matt Hawk / Matroda
23WOx6Fpmw0dhUJKonYI28,Stop It (Cb),['Balancing the Different'],Balancing the Different
21XsBxsHuD8Ijk1mvR9bIb,Face Drop,['Sean Kingston'],Sean Kingston
0UZwcRQAk4QR09HtGRZhYC,Closer To The Edge,['Thirty Seconds To Mars'],Thirty Seconds To Mars
4XhzDUvgDIokNmvMtHsmOz,Keasbey Nights,['Catch 22'],Catch 22
7nzxQvoQ7TagWHVOPod2Wo,Fear And Loathing On Long Island,['Latterman'],Latterman
4FC9edzWI0xCOzq6JChRVs,Toast And Bananas,['blink-182'],blink-182
3vt3XJhfT8f310W5KyOm31,Get Down,['b4-4'],b4-4
7okbmgA8lRBGl5limZ7LFM,Save The Best For Last,['Vanessa Williams'],Vanessa Williams
5bUVHuzQh5mkvMPjUU074i,"No Woman, No Cry","['Fugees', 'Wyclef Jean']",Fugees / Wyclef Jean
6RwUhWOoRECbpM9FBh13Z2,Ganjaman,['Alfons'],Alfons
1CLOwFdnBgyBPcM1bLuqVH,Equilibrio,['Fabri Fibra'],Fabri Fibra
